Result for strategy Scalping
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|      DGB/USDT |      5 |           2.92 |          14.58 |             4.372 |           2.96 |        2:17:00 |     5     0     0   100 |
|     REEF/USDT |      4 |           2.53 |          10.13 |             3.039 |           2.06 |        1:59:00 |     3     0     1  75.0 |
|     GALA/USDT |      4 |           2.30 |           9.18 |             2.754 |           1.86 |        1:28:00 |     3     0     1  75.0 |
|      KNC/USDT |      3 |           3.02 |           9.05 |             2.716 |           1.84 |        0:58:00 |     2     0     1  66.7 |
|      KSM/USDT |      5 |           1.81 |           9.05 |             2.713 |           1.84 |        1:21:00 |     3     0     2  60.0 |
|      BCH/USDT |      3 |           2.89 |           8.66 |             2.597 |           1.76 |        2:09:00 |     2     1     0   100 |
|      MTL/USDT |      3 |           2.70 |           8.10 |             2.431 |           1.65 |        2:23:00 |     3     0     0   100 |
|      AXS/USDT |      5 |           1.48 |           7.42 |             2.226 |           1.51 |        2:02:00 |     4     0     1  80.0 |
|      ZEC/USDT |      2 |           2.98 |           5.97 |             1.791 |           1.21 |        2:44:00 |     2     0     0   100 |
|     KAVA/USDT |      5 |           1.18 |           5.92 |             1.778 |           1.20 |        2:12:00 |     3     0     2  60.0 |
|      SRM/USDT |      7 |           0.78 |           5.47 |             1.641 |           1.11 |        2:34:00 |     5     1     1  71.4 |
|      XEM/USDT |      6 |           0.91 |           5.44 |             1.632 |           1.10 |        1:58:00 |     3     0     3  50.0 |
|      CVC/USDT |      5 |           1.03 |           5.16 |             1.548 |           1.05 |        1:03:00 |     2     0     3  40.0 |
|     STMX/USDT |      2 |           2.02 |           4.03 |             1.210 |           0.82 |        2:19:00 |     2     0     0   100 |
|      ZEN/USDT |      1 |           4.01 |           4.01 |             1.203 |           0.81 |        2:27:00 |     1     0     0   100 |
|     MANA/USDT |      1 |           4.00 |           4.00 |             1.200 |           0.81 |        1:30:00 |     1     0     0   100 |
|      DOT/USDT |      1 |           3.99 |           3.99 |             1.196 |           0.81 |        2:36:00 |     1     0     0   100 |
|     EGLD/USDT |      2 |           1.60 |           3.19 |             0.958 |           0.65 |        2:47:00 |     2     0     0   100 |
|     UNFI/USDT |      4 |           0.73 |           2.92 |             0.876 |           0.59 |        2:04:00 |     3     0     1  75.0 |
|      YFI/USDT |      3 |           0.97 |           2.91 |             0.873 |           0.59 |        3:15:00 |     2     0     1  66.7 |
|     DUSK/USDT |      5 |           0.51 |           2.53 |             0.758 |           0.51 |        1:54:00 |     3     0     2  60.0 |
|    MATIC/USDT |      3 |           0.71 |           2.13 |             0.638 |           0.43 |        2:20:00 |     2     0     1  66.7 |
|     ATOM/USDT |      2 |           1.06 |           2.12 |             0.636 |           0.43 |        1:40:00 |     1     0     1  50.0 |
|      ADA/USDT |      2 |           1.06 |           2.12 |             0.636 |           0.43 |        1:27:00 |     1     0     1  50.0 |
|      LTC/USDT |      2 |           1.06 |           2.12 |             0.636 |           0.43 |        1:47:00 |     1     0     1  50.0 |
|     SAND/USDT |      1 |           1.61 |           1.61 |             0.482 |           0.33 |        2:47:00 |     1     0     0   100 |
|      ONT/USDT |      1 |           1.57 |           1.57 |             0.472 |           0.32 |        2:47:00 |     1     0     0   100 |
|      ETH/USDT |      2 |           0.66 |           1.31 |             0.394 |           0.27 |        2:47:00 |     2     0     0   100 |
|      OMG/USDT |      2 |           0.58 |           1.15 |             0.345 |           0.23 |        1:31:00 |     1     0     1  50.0 |
|      MKR/USDT |      3 |           0.32 |           0.97 |             0.292 |           0.20 |        1:59:00 |     1     0     2  33.3 |
|      XMR/USDT |      3 |           0.30 |           0.91 |             0.273 |           0.19 |        2:31:00 |     2     0     1  66.7 |
|      FTM/USDT |      2 |           0.18 |           0.36 |             0.109 |           0.07 |        2:20:00 |     1     0     1  50.0 |
